epi_date,cases,7-day average,cumulative cases,asof,cumulative_sum
8/24/2022,349,427.7142857,17323,Data as of 09/14/2022,17323
8/25/2022,466,434.4285714,17789,Data as of 09/14/2022,17789
8/26/2022,331,422.2857143,18120,Data as of 09/14/2022,18120
8/27/2022,90,413.4285714,18210,Data as of 09/14/2022,18210
8/28/2022,47,406.0,18257,Data as of 09/14/2022,18257
8/29/2022,560,354.1428571,18817,Data as of 09/14/2022,18817
8/30/2022,412,322.1428571,19229,Data as of 09/14/2022,19229
8/31/2022,252,308.2857143,19481,Data as of 09/14/2022,19481
9/1/2022,576,324.0,20057,Data as of 09/14/2022,20057
9/2/2022,375,330.2857143,20432,Data as of 09/14/2022,20432
9/3/2022,49,324.4285714,20481,Data as of 09/14/2022,20481
9/4/2022,25,321.2857143,20506,Data as of 09/14/2022,20506
9/5/2022,29,245.4285714,20535,Data as of 09/14/2022,20535
9/6/2022,742,292.5714286,21277,Data as of 09/14/2022,21277
9/7/2022,273,295.5714286,21550,Data as of 09/14/2022,21550
9/8/2022,291,254.8571429,21841,Data as of 09/14/2022,21841
9/9/2022,248,236.7142857,22089,Data as of 09/14/2022,22089
9/10/2022,29,233.8571429,22118,Data as of 09/14/2022,22118
9/11/2022,26,234.0,22144,Data as of 09/14/2022,22144
9/12/2022,301,272.8571429,22445,Data as of 09/14/2022,22445
9/13/2022,218,198.0,22663,Data as of 09/14/2022,22663
9/14/2022,78,170.1428571,22741,Data as of 09/14/2022,22741
