location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
South Dakota,2,Data as of August 31 2022 at 2:00 pm EDT,46,S.D.,SD,South Dakota,879336,2.27,2022-08-31,8:28 PM,18986
Tennessee,181,Data as of August 31 2022 at 2:00 pm EDT,47,Tenn.,TN,Tennessee,6772268,26.73,2022-08-31,8:28 PM,18986
Texas,1664,Data as of August 31 2022 at 2:00 pm EDT,48,Texas,TX,Texas,28635442,58.11,2022-08-31,8:28 PM,18986
Utah,100,Data as of August 31 2022 at 2:00 pm EDT,49,Utah,UT,Utah,3151239,31.73,2022-08-31,8:28 PM,18986
Vermont,3,Data as of August 31 2022 at 2:00 pm EDT,50,Vt.,VT,Vermont,624340,4.81,2022-08-31,8:28 PM,18986
Virginia,339,Data as of August 31 2022 at 2:00 pm EDT,51,Va.,VA,Virginia,8509358,39.84,2022-08-31,8:28 PM,18986
Washington,332,Data as of August 31 2022 at 2:00 pm EDT,53,Wash.,WA,Washington,7512465,44.19,2022-08-31,8:28 PM,18986
West Virginia,5,Data as of August 31 2022 at 2:00 pm EDT,54,W.Va.,WV,West Virginia,1807426,2.77,2022-08-31,8:28 PM,18986
Wisconsin,56,Data as of August 31 2022 at 2:00 pm EDT,55,Wis.,WI,Wisconsin,5806975,9.64,2022-08-31,8:28 PM,18986
Wyoming,2,Data as of August 31 2022 at 2:00 pm EDT,56,Wyo.,WY,Wyoming,581348,3.44,2022-08-31,8:28 PM,18986
