location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,69,Data as of August 31 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,14.1,2022-08-31,8:28 PM,18986
Alaska,3,Data as of August 31 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-08-31,8:28 PM,18986
Arizona,317,Data as of August 31 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,44.19,2022-08-31,8:28 PM,18986
Arkansas,32,Data as of August 31 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,10.62,2022-08-31,8:28 PM,18986
California,3629,Data as of August 31 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,92.23,2022-08-31,8:28 PM,18986
Colorado,198,Data as of August 31 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,34.83,2022-08-31,8:28 PM,18986
Connecticut,91,Data as of August 31 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,25.49,2022-08-31,8:28 PM,18986
Delaware,22,Data as of August 31 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,22.73,2022-08-31,8:28 PM,18986
District of Columbia,432,Data as of August 31 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,615.41,2022-08-31,8:28 PM,18986
Florida,1922,Data as of August 31 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,90.59,2022-08-31,8:28 PM,18986
Georgia,1403,Data as of August 31 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,133.41,2022-08-31,8:28 PM,18986
Hawaii,18,Data as of August 31 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,12.68,2022-08-31,8:28 PM,18986
Idaho,11,Data as of August 31 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.27,2022-08-31,8:28 PM,18986
Illinois,1069,Data as of August 31 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,84.07,2022-08-31,8:28 PM,18986
Indiana,153,Data as of August 31 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,22.85,2022-08-31,8:28 PM,18986
Iowa,18,Data as of August 31 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,5.71,2022-08-31,8:28 PM,18986
Kansas,5,Data as of August 31 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,1.72,2022-08-31,8:28 PM,18986
Kentucky,31,Data as of August 31 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,6.95,2022-08-31,8:28 PM,18986
Louisiana,183,Data as of August 31 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,39.23,2022-08-31,8:28 PM,18986
Maine,5,Data as of August 31 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,3.73,2022-08-31,8:28 PM,18986
Maryland,484,Data as of August 31 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,80.16,2022-08-31,8:28 PM,18986
Massachusetts,303,Data as of August 31 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,44.09,2022-08-31,8:28 PM,18986
Michigan,186,Data as of August 31 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,18.65,2022-08-31,8:28 PM,18986
Minnesota,123,Data as of August 31 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,21.96,2022-08-31,8:28 PM,18986
Mississippi,32,Data as of August 31 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,10.73,2022-08-31,8:28 PM,18986
Missouri,53,Data as of August 31 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,8.65,2022-08-31,8:28 PM,18986
Montana,5,Data as of August 31 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-08-31,8:28 PM,18986
Nebraska,27,Data as of August 31 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.03,2022-08-31,8:28 PM,18986
Nevada,141,Data as of August 31 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,46.53,2022-08-31,8:28 PM,18986
New Hampshire,20,Data as of August 31 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,14.76,2022-08-31,8:28 PM,18986
New Jersey,512,Data as of August 31 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,57.62,2022-08-31,8:28 PM,18986
New Mexico,26,Data as of August 31 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,12.4,2022-08-31,8:28 PM,18986
New York,3310,Data as of August 31 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,169.61,2022-08-31,8:28 PM,18986
North Carolina,318,Data as of August 31 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,30.62,2022-08-31,8:28 PM,18986
North Dakota,5,Data as of August 31 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,6.58,2022-08-31,8:28 PM,18986
Ohio,172,Data as of August 31 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,14.73,2022-08-31,8:28 PM,18986
Oklahoma,22,Data as of August 31 2022 at 2:00 pm EDT,40,Okla.,OK,Oklahoma,3949342,5.57,2022-08-31,8:28 PM,18986
Oregon,141,Data as of August 31 2022 at 2:00 pm EDT,41,Ore.,OR,Oregon,4176346,33.76,2022-08-31,8:28 PM,18986
Pennsylvania,544,Data as of August 31 2022 at 2:00 pm EDT,42,Pa.,PA,Pennsylvania,12794885,42.52,2022-08-31,8:28 PM,18986
Puerto Rico,111,Data as of August 31 2022 at 2:00 pm EDT,72,,PR,Puerto Rico,3255642,34.09,2022-08-31,8:28 PM,18986
Rhode Island,43,Data as of August 31 2022 at 2:00 pm EDT,44,R.I.,RI,Rhode Island,1057798,40.65,2022-08-31,8:28 PM,18986
South Carolina,113,Data as of August 31 2022 at 2:00 pm EDT,45,S.C.,SC,South Carolina,5091517,22.19,2022-08-31,8:28 PM,18986
