location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,90,Data as of September 13 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,18.39,2022-09-13,8:35 PM,22627
Alaska,3,Data as of September 13 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-13,8:35 PM,22627
Arizona,396,Data as of September 13 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,55.2,2022-09-13,8:35 PM,22627
Arkansas,51,Data as of September 13 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,16.93,2022-09-13,8:35 PM,22627
California,4300,Data as of September 13 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,109.29,2022-09-13,8:35 PM,22627
Colorado,235,Data as of September 13 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,41.34,2022-09-13,8:35 PM,22627
Connecticut,113,Data as of September 13 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,31.65,2022-09-13,8:35 PM,22627
Delaware,34,Data as of September 13 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,35.14,2022-09-13,8:35 PM,22627
District of Columbia,467,Data as of September 13 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,665.27,2022-09-13,8:35 PM,22627
Florida,2282,Data as of September 13 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,107.56,2022-09-13,8:35 PM,22627
Georgia,1607,Data as of September 13 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,152.81,2022-09-13,8:35 PM,22627
Hawaii,25,Data as of September 13 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,17.6,2022-09-13,8:35 PM,22627
Idaho,12,Data as of September 13 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.84,2022-09-13,8:35 PM,22627
Illinois,1180,Data as of September 13 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,92.8,2022-09-13,8:35 PM,22627
