state,cases,state_fips,state_ap,state_postal,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,22,01,Ala.,AL,4893186,4.5,2022-08-09,7:37 PM,9489
Alaska,2,02,Alaska,AK,736990,2.71,2022-08-09,7:37 PM,9489
Arizona,143,04,Ariz.,AZ,7174064,19.93,2022-08-09,7:37 PM,9489
Arkansas,12,05,Ark.,AR,3011873,3.98,2022-08-09,7:37 PM,9489
California,1310,06,Calif.,CA,39346023,33.29,2022-08-09,7:37 PM,9489
Colorado,78,08,Colo.,CO,5684926,13.72,2022-08-09,7:37 PM,9489
Connecticut,49,09,Conn.,CT,3570549,13.72,2022-08-09,7:37 PM,9489
Delaware,6,10,Del.,DE,967679,6.2,2022-08-09,7:37 PM,9489
District of Columbia,318,11,D.C.,DC,701974,453.01,2022-08-09,7:37 PM,9489
Florida,976,12,Fla.,FL,21216924,46.0,2022-08-09,7:37 PM,9489
Georgia,749,13,Ga.,GA,10516579,71.22,2022-08-09,7:37 PM,9489
Hawaii,11,15,Hawaii,HI,1420074,7.75,2022-08-09,7:37 PM,9489
Idaho,8,16,Idaho,ID,1754367,4.56,2022-08-09,7:37 PM,9489
Illinois,701,17,Ill.,IL,12716164,55.13,2022-08-09,7:37 PM,9489
Indiana,77,18,Ind.,IN,6696893,11.5,2022-08-09,7:37 PM,9489
Iowa,13,19,Iowa,IA,3150011,4.13,2022-08-09,7:37 PM,9489
Kansas,2,20,Kan.,KS,2912619,0.69,2022-08-09,7:37 PM,9489
Kentucky,10,21,Ky.,KY,4461952,2.24,2022-08-09,7:37 PM,9489
Louisiana,88,22,La.,LA,4664616,18.87,2022-08-09,7:37 PM,9489
Maine,2,23,Maine,ME,1340825,1.49,2022-08-09,7:37 PM,9489
Maryland,219,24,Md.,MD,6037624,36.27,2022-08-09,7:37 PM,9489
Massachusetts,174,25,Mass.,MA,6873003,25.32,2022-08-09,7:37 PM,9489
Michigan,73,26,Mich.,MI,9973907,7.32,2022-08-09,7:37 PM,9489
Minnesota,55,27,Minn.,MN,5600166,9.82,2022-08-09,7:37 PM,9489
Mississippi,8,28,Miss.,MS,2981835,2.68,2022-08-09,7:37 PM,9489
Missouri,17,29,Mo.,MO,6124160,2.78,2022-08-09,7:37 PM,9489
Montana,1,30,Mont.,MT,1061705,0.94,2022-08-09,7:37 PM,9489
Nebraska,14,31,Neb.,NE,1923826,7.28,2022-08-09,7:37 PM,9489
Nevada,55,32,Nev.,NV,3030281,18.15,2022-08-09,7:37 PM,9489
New Hampshire,15,33,N.H.,NH,1355244,11.07,2022-08-09,7:37 PM,9489
New Jersey,264,34,N.J.,NJ,8885418,29.71,2022-08-09,7:37 PM,9489
New Mexico,13,35,N.M.,NM,2097021,6.2,2022-08-09,7:37 PM,9489
New York,2104,36,N.Y.,NY,19514849,107.82,2022-08-09,7:37 PM,9489
North Carolina,114,37,N.C.,NC,10386227,10.98,2022-08-09,7:37 PM,9489
North Dakota,2,38,N.D.,ND,760394,2.63,2022-08-09,7:37 PM,9489
Ohio,73,39,Ohio,OH,11675275,6.25,2022-08-09,7:37 PM,9489
Oklahoma,11,40,Okla.,OK,3949342,2.79,2022-08-09,7:37 PM,9489
Oregon,93,41,Ore.,OR,4176346,22.27,2022-08-09,7:37 PM,9489
Pennsylvania,251,42,Pa.,PA,12794885,19.62,2022-08-09,7:37 PM,9489
Puerto Rico,32,72,,PR,3255642,9.83,2022-08-09,7:37 PM,9489
Rhode Island,31,44,R.I.,RI,1057798,29.31,2022-08-09,7:37 PM,9489
South Carolina,41,45,S.C.,SC,5091517,8.05,2022-08-09,7:37 PM,9489
South Dakota,2,46,S.D.,SD,879336,2.27,2022-08-09,7:37 PM,9489
Tennessee,55,47,Tenn.,TN,6772268,8.12,2022-08-09,7:37 PM,9489
Texas,748,48,Texas,TX,28635442,26.12,2022-08-09,7:37 PM,9489
Utah,56,49,Utah,UT,3151239,17.77,2022-08-09,7:37 PM,9489
Vermont,1,50,Vt.,VT,624340,1.6,2022-08-09,7:37 PM,9489
Virginia,145,51,Va.,VA,8509358,17.04,2022-08-09,7:37 PM,9489
Washington,210,53,Wash.,WA,7512465,27.95,2022-08-09,7:37 PM,9489
West Virginia,4,54,W.Va.,WV,1807426,2.21,2022-08-09,7:37 PM,9489
Wisconsin,31,55,Wis.,WI,5806975,5.34,2022-08-09,7:37 PM,9489
Wyoming,0,56,Wyo.,WY,581348,0.0,2022-08-09,7:37 PM,9489
