location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,90,Data as of September 15 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,18.39,2022-09-16,7:20 AM,23114
Alaska,3,Data as of September 15 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-16,7:20 AM,23114
Arizona,399,Data as of September 15 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,55.62,2022-09-16,7:20 AM,23114
Arkansas,53,Data as of September 15 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,17.6,2022-09-16,7:20 AM,23114
California,4453,Data as of September 15 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,113.18,2022-09-16,7:20 AM,23114
Colorado,253,Data as of September 15 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,44.5,2022-09-16,7:20 AM,23114
Connecticut,118,Data as of September 15 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,33.05,2022-09-16,7:20 AM,23114
Delaware,35,Data as of September 15 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,36.17,2022-09-16,7:20 AM,23114
District of Columbia,477,Data as of September 15 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,679.51,2022-09-16,7:20 AM,23114
Florida,2301,Data as of September 15 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,108.45,2022-09-16,7:20 AM,23114
Georgia,1641,Data as of September 15 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,156.04,2022-09-16,7:20 AM,23114
Hawaii,25,Data as of September 15 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,17.6,2022-09-16,7:20 AM,23114
Idaho,12,Data as of September 15 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.84,2022-09-16,7:20 AM,23114
Illinois,1198,Data as of September 15 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,94.21,2022-09-16,7:20 AM,23114
Indiana,201,Data as of September 15 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,30.01,2022-09-16,7:20 AM,23114
Iowa,22,Data as of September 15 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,6.98,2022-09-16,7:20 AM,23114
Kansas,8,Data as of September 15 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,2.75,2022-09-16,7:20 AM,23114
Kentucky,40,Data as of September 15 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,8.96,2022-09-16,7:20 AM,23114
Louisiana,226,Data as of September 15 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,48.45,2022-09-16,7:20 AM,23114
Maine,9,Data as of September 15 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,6.71,2022-09-16,7:20 AM,23114
Maryland,603,Data as of September 15 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,99.87,2022-09-16,7:20 AM,23114
Massachusetts,364,Data as of September 15 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,52.96,2022-09-16,7:20 AM,23114
Michigan,244,Data as of September 15 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,24.46,2022-09-16,7:20 AM,23114
Minnesota,165,Data as of September 15 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,29.46,2022-09-16,7:20 AM,23114
Mississippi,58,Data as of September 15 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,19.45,2022-09-16,7:20 AM,23114
Missouri,71,Data as of September 15 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,11.59,2022-09-16,7:20 AM,23114
Montana,5,Data as of September 15 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-09-16,7:20 AM,23114
Nebraska,28,Data as of September 15 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.55,2022-09-16,7:20 AM,23114
Nevada,217,Data as of September 15 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,71.61,2022-09-16,7:20 AM,23114
New Hampshire,27,Data as of September 15 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,19.92,2022-09-16,7:20 AM,23114
New Jersey,643,Data as of September 15 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,72.37,2022-09-16,7:20 AM,23114
New Mexico,33,Data as of September 15 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,15.74,2022-09-16,7:20 AM,23114
New York,3719,Data as of September 15 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,190.57,2022-09-16,7:20 AM,23114
North Carolina,434,Data as of September 15 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,41.79,2022-09-16,7:20 AM,23114
North Dakota,5,Data as of September 15 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,6.58,2022-09-16,7:20 AM,23114
Ohio,237,Data as of September 15 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,20.3,2022-09-16,7:20 AM,23114
Oklahoma,33,Data as of September 15 2022 at 2:00 pm EDT,40,Okla.,OK,Oklahoma,3949342,8.36,2022-09-16,7:20 AM,23114
Oregon,183,Data as of September 15 2022 at 2:00 pm EDT,41,Ore.,OR,Oregon,4176346,43.82,2022-09-16,7:20 AM,23114
Pennsylvania,684,Data as of September 15 2022 at 2:00 pm EDT,42,Pa.,PA,Pennsylvania,12794885,53.46,2022-09-16,7:20 AM,23114
Puerto Rico,160,Data as of September 15 2022 at 2:00 pm EDT,72,,PR,Puerto Rico,3255642,49.15,2022-09-16,7:20 AM,23114
Rhode Island,63,Data as of September 15 2022 at 2:00 pm EDT,44,R.I.,RI,Rhode Island,1057798,59.56,2022-09-16,7:20 AM,23114
South Carolina,137,Data as of September 15 2022 at 2:00 pm EDT,45,S.C.,SC,South Carolina,5091517,26.91,2022-09-16,7:20 AM,23114
South Dakota,2,Data as of September 15 2022 at 2:00 pm EDT,46,S.D.,SD,South Dakota,879336,2.27,2022-09-16,7:20 AM,23114
