location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,82,Data as of September 09 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,16.76,2022-09-10,8:29 PM,21891
Alaska,3,Data as of September 09 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-10,8:29 PM,21891
Arizona,374,Data as of September 09 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,52.13,2022-09-10,8:29 PM,21891
Arkansas,46,Data as of September 09 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,15.27,2022-09-10,8:29 PM,21891
California,4300,Data as of September 09 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,109.29,2022-09-10,8:29 PM,21891
Colorado,235,Data as of September 09 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,41.34,2022-09-10,8:29 PM,21891
Connecticut,107,Data as of September 09 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,29.97,2022-09-10,8:29 PM,21891
Delaware,29,Data as of September 09 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,29.97,2022-09-10,8:29 PM,21891
District of Columbia,457,Data as of September 09 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,651.02,2022-09-10,8:29 PM,21891
Florida,2193,Data as of September 09 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,103.36,2022-09-10,8:29 PM,21891
Georgia,1557,Data as of September 09 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,148.05,2022-09-10,8:29 PM,21891
Hawaii,25,Data as of September 09 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,17.6,2022-09-10,8:29 PM,21891
Idaho,11,Data as of September 09 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.27,2022-09-10,8:29 PM,21891
Illinois,1141,Data as of September 09 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,89.73,2022-09-10,8:29 PM,21891
Indiana,183,Data as of September 09 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,27.33,2022-09-10,8:29 PM,21891
Iowa,20,Data as of September 09 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,6.35,2022-09-10,8:29 PM,21891
Kansas,7,Data as of September 09 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,2.4,2022-09-10,8:29 PM,21891
Kentucky,36,Data as of September 09 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,8.07,2022-09-10,8:29 PM,21891
Louisiana,211,Data as of September 09 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,45.23,2022-09-10,8:29 PM,21891
Maine,7,Data as of September 09 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,5.22,2022-09-10,8:29 PM,21891
Maryland,571,Data as of September 09 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,94.57,2022-09-10,8:29 PM,21891
Massachusetts,347,Data as of September 09 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,50.49,2022-09-10,8:29 PM,21891
Michigan,227,Data as of September 09 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,22.76,2022-09-10,8:29 PM,21891
Minnesota,153,Data as of September 09 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,27.32,2022-09-10,8:29 PM,21891
Mississippi,48,Data as of September 09 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,16.1,2022-09-10,8:29 PM,21891
Missouri,61,Data as of September 09 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,9.96,2022-09-10,8:29 PM,21891
Montana,5,Data as of September 09 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-09-10,8:29 PM,21891
Nebraska,28,Data as of September 09 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.55,2022-09-10,8:29 PM,21891
Nevada,204,Data as of September 09 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,67.32,2022-09-10,8:29 PM,21891
New Hampshire,23,Data as of September 09 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,16.97,2022-09-10,8:29 PM,21891
New Jersey,610,Data as of September 09 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,68.65,2022-09-10,8:29 PM,21891
New Mexico,32,Data as of September 09 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,15.26,2022-09-10,8:29 PM,21891
New York,3591,Data as of September 09 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,184.01,2022-09-10,8:29 PM,21891
North Carolina,387,Data as of September 09 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,37.26,2022-09-10,8:29 PM,21891
North Dakota,5,Data as of September 09 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,6.58,2022-09-10,8:29 PM,21891
Ohio,226,Data as of September 09 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,19.36,2022-09-10,8:29 PM,21891
Oklahoma,27,Data as of September 09 2022 at 2:00 pm EDT,40,Okla.,OK,Oklahoma,3949342,6.84,2022-09-10,8:29 PM,21891
Oregon,141,Data as of September 09 2022 at 2:00 pm EDT,41,Ore.,OR,Oregon,4176346,33.76,2022-09-10,8:29 PM,21891
Pennsylvania,631,Data as of September 09 2022 at 2:00 pm EDT,42,Pa.,PA,Pennsylvania,12794885,49.32,2022-09-10,8:29 PM,21891
Puerto Rico,134,Data as of September 09 2022 at 2:00 pm EDT,72,,PR,Puerto Rico,3255642,41.16,2022-09-10,8:29 PM,21891
Rhode Island,58,Data as of September 09 2022 at 2:00 pm EDT,44,R.I.,RI,Rhode Island,1057798,54.83,2022-09-10,8:29 PM,21891
South Carolina,129,Data as of September 09 2022 at 2:00 pm EDT,45,S.C.,SC,South Carolina,5091517,25.34,2022-09-10,8:29 PM,21891
South Dakota,2,Data as of September 09 2022 at 2:00 pm EDT,46,S.D.,SD,South Dakota,879336,2.27,2022-09-10,8:29 PM,21891
Tennessee,212,Data as of September 09 2022 at 2:00 pm EDT,47,Tenn.,TN,Tennessee,6772268,31.3,2022-09-10,8:29 PM,21891
Texas,1929,Data as of September 09 2022 at 2:00 pm EDT,48,Texas,TX,Texas,28635442,67.36,2022-09-10,8:29 PM,21891
Utah,120,Data as of September 09 2022 at 2:00 pm EDT,49,Utah,UT,Utah,3151239,38.08,2022-09-10,8:29 PM,21891
