epi_date_v2,cases,7-day average,cumulative cases,asof,cumulative_sum
5/10/2022,1,0.0,1,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,1
5/11/2022,2,0.0,3,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,3
5/12/2022,2,0.0,5,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,5
5/13/2022,0,0.0,5,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,5
5/14/2022,0,0.0,5,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,5
5/15/2022,1,0.0,6,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,6
5/16/2022,6,1.714285714,12,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,12
5/17/2022,3,2.0,15,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,15
5/18/2022,2,2.0,17,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,17
5/19/2022,3,2.142857143,20,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,20
5/20/2022,0,2.142857143,20,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,20
5/21/2022,1,2.285714286,21,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,21
5/22/2022,1,2.285714286,22,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,22
5/23/2022,3,1.857142857,25,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,25
5/24/2022,4,2.0,29,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,29
5/25/2022,4,2.285714286,33,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,33
5/26/2022,2,2.142857143,35,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,35
5/27/2022,6,3.0,41,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,41
5/28/2022,0,2.857142857,41,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,41
5/29/2022,7,3.714285714,48,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,48
5/30/2022,5,4.0,53,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,53
5/31/2022,6,4.285714286,59,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,59
6/1/2022,11,5.285714286,70,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,70
6/2/2022,12,6.714285714,82,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,82
6/3/2022,6,6.714285714,88,Data as Reported to CDC as of 14 Dec 2022 2:00 PM EDT,88
