location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,105,Data as of September 21 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,21.46,2022-09-21,8:31 PM,24361
Alaska,5,Data as of September 21 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,6.78,2022-09-21,8:31 PM,24361
Arizona,430,Data as of September 21 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,59.94,2022-09-21,8:31 PM,24361
Arkansas,56,Data as of September 21 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,18.59,2022-09-21,8:31 PM,24361
California,4753,Data as of September 21 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,120.8,2022-09-21,8:31 PM,24361
Colorado,263,Data as of September 21 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,46.26,2022-09-21,8:31 PM,24361
Connecticut,123,Data as of September 21 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,34.45,2022-09-21,8:31 PM,24361
Delaware,35,Data as of September 21 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,36.17,2022-09-21,8:31 PM,24361
District of Columbia,488,Data as of September 21 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,695.18,2022-09-21,8:31 PM,24361
Florida,2422,Data as of September 21 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,114.15,2022-09-21,8:31 PM,24361
Georgia,1717,Data as of September 21 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,163.27,2022-09-21,8:31 PM,24361
Hawaii,27,Data as of September 21 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,19.01,2022-09-21,8:31 PM,24361
Idaho,12,Data as of September 21 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.84,2022-09-21,8:31 PM,24361
Illinois,1263,Data as of September 21 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,99.32,2022-09-21,8:31 PM,24361
Indiana,218,Data as of September 21 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,32.55,2022-09-21,8:31 PM,24361
Iowa,24,Data as of September 21 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,7.62,2022-09-21,8:31 PM,24361
