location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,82,Data as of September 08 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,16.76,2022-09-08,8:28 PM,21501
Alaska,3,Data as of September 08 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-08,8:28 PM,21501
Arizona,370,Data as of September 08 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,51.57,2022-09-08,8:28 PM,21501
Arkansas,45,Data as of September 08 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,14.94,2022-09-08,8:28 PM,21501
California,4140,Data as of September 08 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,105.22,2022-09-08,8:28 PM,21501
Colorado,235,Data as of September 08 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,41.34,2022-09-08,8:28 PM,21501
Connecticut,107,Data as of September 08 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,29.97,2022-09-08,8:28 PM,21501
Delaware,28,Data as of September 08 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,28.94,2022-09-08,8:28 PM,21501
District of Columbia,448,Data as of September 08 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,638.2,2022-09-08,8:28 PM,21501
Florida,2158,Data as of September 08 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,101.71,2022-09-08,8:28 PM,21501
Georgia,1535,Data as of September 08 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,145.96,2022-09-08,8:28 PM,21501
Hawaii,25,Data as of September 08 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,17.6,2022-09-08,8:28 PM,21501
Idaho,11,Data as of September 08 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.27,2022-09-08,8:28 PM,21501
Illinois,1134,Data as of September 08 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,89.18,2022-09-08,8:28 PM,21501
Indiana,182,Data as of September 08 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,27.18,2022-09-08,8:28 PM,21501
Iowa,20,Data as of September 08 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,6.35,2022-09-08,8:28 PM,21501
Kansas,7,Data as of September 08 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,2.4,2022-09-08,8:28 PM,21501
Kentucky,34,Data as of September 08 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,7.62,2022-09-08,8:28 PM,21501
Louisiana,204,Data as of September 08 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,43.73,2022-09-08,8:28 PM,21501
Maine,7,Data as of September 08 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,5.22,2022-09-08,8:28 PM,21501
Maryland,570,Data as of September 08 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,94.41,2022-09-08,8:28 PM,21501
