location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,69,Data as of September 01 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,14.1,2022-09-01,8:33 PM,19462
Alaska,3,Data as of September 01 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-01,8:33 PM,19462
Arizona,326,Data as of September 01 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,45.44,2022-09-01,8:33 PM,19462
Arkansas,36,Data as of September 01 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,11.95,2022-09-01,8:33 PM,19462
California,3629,Data as of September 01 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,92.23,2022-09-01,8:33 PM,19462
Colorado,198,Data as of September 01 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,34.83,2022-09-01,8:33 PM,19462
Connecticut,93,Data as of September 01 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,26.05,2022-09-01,8:33 PM,19462
Delaware,25,Data as of September 01 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,25.84,2022-09-01,8:33 PM,19462
District of Columbia,432,Data as of September 01 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,615.41,2022-09-01,8:33 PM,19462
Florida,1957,Data as of September 01 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,92.24,2022-09-01,8:33 PM,19462
Georgia,1418,Data as of September 01 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,134.83,2022-09-01,8:33 PM,19462
Hawaii,18,Data as of September 01 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,12.68,2022-09-01,8:33 PM,19462
Idaho,11,Data as of September 01 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.27,2022-09-01,8:33 PM,19462
Illinois,1081,Data as of September 01 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,85.01,2022-09-01,8:33 PM,19462
Indiana,169,Data as of September 01 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,25.24,2022-09-01,8:33 PM,19462
Iowa,18,Data as of September 01 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,5.71,2022-09-01,8:33 PM,19462
Kansas,5,Data as of September 01 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,1.72,2022-09-01,8:33 PM,19462
Kentucky,32,Data as of September 01 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,7.17,2022-09-01,8:33 PM,19462
Louisiana,185,Data as of September 01 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,39.66,2022-09-01,8:33 PM,19462
Maine,5,Data as of September 01 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,3.73,2022-09-01,8:33 PM,19462
