location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,82,Data as of September 07 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,16.76,2022-09-07,8:32 PM,21271
Alaska,3,Data as of September 07 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-07,8:32 PM,21271
Arizona,356,Data as of September 07 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,49.62,2022-09-07,8:32 PM,21271
Arkansas,43,Data as of September 07 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,14.28,2022-09-07,8:32 PM,21271
California,4140,Data as of September 07 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,105.22,2022-09-07,8:32 PM,21271
Colorado,235,Data as of September 07 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,41.34,2022-09-07,8:32 PM,21271
Connecticut,104,Data as of September 07 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,29.13,2022-09-07,8:32 PM,21271
Delaware,28,Data as of September 07 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,28.94,2022-09-07,8:32 PM,21271
District of Columbia,436,Data as of September 07 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,621.11,2022-09-07,8:32 PM,21271
Florida,2148,Data as of September 07 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,101.24,2022-09-07,8:32 PM,21271
Georgia,1522,Data as of September 07 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,144.72,2022-09-07,8:32 PM,21271
Hawaii,25,Data as of September 07 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,17.6,2022-09-07,8:32 PM,21271
Idaho,11,Data as of September 07 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.27,2022-09-07,8:32 PM,21271
Illinois,1128,Data as of September 07 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,88.71,2022-09-07,8:32 PM,21271
Indiana,182,Data as of September 07 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,27.18,2022-09-07,8:32 PM,21271
Iowa,20,Data as of September 07 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,6.35,2022-09-07,8:32 PM,21271
Kansas,7,Data as of September 07 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,2.4,2022-09-07,8:32 PM,21271
Kentucky,34,Data as of September 07 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,7.62,2022-09-07,8:32 PM,21271
Louisiana,198,Data as of September 07 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,42.45,2022-09-07,8:32 PM,21271
Maine,7,Data as of September 07 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,5.22,2022-09-07,8:32 PM,21271
Maryland,559,Data as of September 07 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,92.59,2022-09-07,8:32 PM,21271
Massachusetts,336,Data as of September 07 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,48.89,2022-09-07,8:32 PM,21271
Michigan,202,Data as of September 07 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,20.25,2022-09-07,8:32 PM,21271
Minnesota,141,Data as of September 07 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,25.18,2022-09-07,8:32 PM,21271
Mississippi,44,Data as of September 07 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,14.76,2022-09-07,8:32 PM,21271
Missouri,61,Data as of September 07 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,9.96,2022-09-07,8:32 PM,21271
Montana,5,Data as of September 07 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-09-07,8:32 PM,21271
Nebraska,28,Data as of September 07 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.55,2022-09-07,8:32 PM,21271
Nevada,204,Data as of September 07 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,67.32,2022-09-07,8:32 PM,21271
New Hampshire,22,Data as of September 07 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,16.23,2022-09-07,8:32 PM,21271
New Jersey,595,Data as of September 07 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,66.96,2022-09-07,8:32 PM,21271
New Mexico,27,Data as of September 07 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,12.88,2022-09-07,8:32 PM,21271
New York,3542,Data as of September 07 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,181.5,2022-09-07,8:32 PM,21271
North Carolina,382,Data as of September 07 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,36.78,2022-09-07,8:32 PM,21271
North Dakota,5,Data as of September 07 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,6.58,2022-09-07,8:32 PM,21271
Ohio,213,Data as of September 07 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,18.24,2022-09-07,8:32 PM,21271
Oklahoma,24,Data as of September 07 2022 at 2:00 pm EDT,40,Okla.,OK,Oklahoma,3949342,6.08,2022-09-07,8:32 PM,21271
Oregon,141,Data as of September 07 2022 at 2:00 pm EDT,41,Ore.,OR,Oregon,4176346,33.76,2022-09-07,8:32 PM,21271
Pennsylvania,618,Data as of September 07 2022 at 2:00 pm EDT,42,Pa.,PA,Pennsylvania,12794885,48.3,2022-09-07,8:32 PM,21271
Puerto Rico,126,Data as of September 07 2022 at 2:00 pm EDT,72,,PR,Puerto Rico,3255642,38.7,2022-09-07,8:32 PM,21271
