location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,115,Data as of September 28 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,23.5,2022-09-28,8:37 PM,25506
Alaska,5,Data as of September 28 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,6.78,2022-09-28,8:37 PM,25506
Arizona,473,Data as of September 28 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,65.93,2022-09-28,8:37 PM,25506
Arkansas,58,Data as of September 28 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,19.26,2022-09-28,8:37 PM,25506
California,4886,Data as of September 28 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,124.18,2022-09-28,8:37 PM,25506
Colorado,278,Data as of September 28 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,48.9,2022-09-28,8:37 PM,25506
Connecticut,125,Data as of September 28 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,35.01,2022-09-28,8:37 PM,25506
Delaware,36,Data as of September 28 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,37.2,2022-09-28,8:37 PM,25506
District of Columbia,495,Data as of September 28 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,705.15,2022-09-28,8:37 PM,25506
Florida,2508,Data as of September 28 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,118.21,2022-09-28,8:37 PM,25506
Georgia,1784,Data as of September 28 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,169.64,2022-09-28,8:37 PM,25506
Hawaii,29,Data as of September 28 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,20.42,2022-09-28,8:37 PM,25506
Idaho,13,Data as of September 28 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,7.41,2022-09-28,8:37 PM,25506
Illinois,1305,Data as of September 28 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,102.63,2022-09-28,8:37 PM,25506
Indiana,228,Data as of September 28 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,34.05,2022-09-28,8:37 PM,25506
Iowa,25,Data as of September 28 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,7.94,2022-09-28,8:37 PM,25506
Kansas,10,Data as of September 28 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,3.43,2022-09-28,8:37 PM,25506
Kentucky,53,Data as of September 28 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,11.88,2022-09-28,8:37 PM,25506
Louisiana,247,Data as of September 28 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,52.95,2022-09-28,8:37 PM,25506
Maine,9,Data as of September 28 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,6.71,2022-09-28,8:37 PM,25506
Maryland,657,Data as of September 28 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,108.82,2022-09-28,8:37 PM,25506
Massachusetts,390,Data as of September 28 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,56.74,2022-09-28,8:37 PM,25506
Michigan,266,Data as of September 28 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,26.67,2022-09-28,8:37 PM,25506
Minnesota,193,Data as of September 28 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,34.46,2022-09-28,8:37 PM,25506
Mississippi,85,Data as of September 28 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,28.51,2022-09-28,8:37 PM,25506
Missouri,103,Data as of September 28 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,16.82,2022-09-28,8:37 PM,25506
Montana,5,Data as of September 28 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-09-28,8:37 PM,25506
Nebraska,28,Data as of September 28 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.55,2022-09-28,8:37 PM,25506
Nevada,264,Data as of September 28 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,87.12,2022-09-28,8:37 PM,25506
New Hampshire,29,Data as of September 28 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,21.4,2022-09-28,8:37 PM,25506
New Jersey,701,Data as of September 28 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,78.89,2022-09-28,8:37 PM,25506
New Mexico,40,Data as of September 28 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,19.07,2022-09-28,8:37 PM,25506
New York,3904,Data as of September 28 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,200.05,2022-09-28,8:37 PM,25506
North Carolina,566,Data as of September 28 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,54.5,2022-09-28,8:37 PM,25506
North Dakota,6,Data as of September 28 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,7.89,2022-09-28,8:37 PM,25506
Ohio,275,Data as of September 28 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,23.55,2022-09-28,8:37 PM,25506
