epi_date,cases,asof,cumulative_sum
5/17/2022,1,Data as of 8/24/2022,1
5/18/2022,0,Data as of 8/24/2022,1
5/19/2022,1,Data as of 8/24/2022,2
5/20/2022,1,Data as of 8/24/2022,3
5/21/2022,2,Data as of 8/24/2022,5
5/22/2022,2,Data as of 8/24/2022,7
5/23/2022,3,Data as of 8/24/2022,10
5/24/2022,1,Data as of 8/24/2022,11
5/25/2022,2,Data as of 8/24/2022,13
5/26/2022,1,Data as of 8/24/2022,14
5/27/2022,3,Data as of 8/24/2022,17
5/28/2022,0,Data as of 8/24/2022,17
5/29/2022,2,Data as of 8/24/2022,19
5/30/2022,1,Data as of 8/24/2022,20
5/31/2022,7,Data as of 8/24/2022,27
6/1/2022,2,Data as of 8/24/2022,29
6/2/2022,5,Data as of 8/24/2022,34
6/3/2022,6,Data as of 8/24/2022,40
6/4/2022,1,Data as of 8/24/2022,41
6/5/2022,1,Data as of 8/24/2022,42
6/6/2022,7,Data as of 8/24/2022,49
6/7/2022,6,Data as of 8/24/2022,55
6/8/2022,8,Data as of 8/24/2022,63
6/9/2022,6,Data as of 8/24/2022,69
6/10/2022,12,Data as of 8/24/2022,81
6/11/2022,6,Data as of 8/24/2022,87
6/12/2022,4,Data as of 8/24/2022,91
6/13/2022,11,Data as of 8/24/2022,102
6/14/2022,21,Data as of 8/24/2022,123
6/15/2022,13,Data as of 8/24/2022,136
6/16/2022,23,Data as of 8/24/2022,159
6/17/2022,16,Data as of 8/24/2022,175
6/18/2022,14,Data as of 8/24/2022,189
6/19/2022,6,Data as of 8/24/2022,195
6/20/2022,14,Data as of 8/24/2022,209
6/21/2022,20,Data as of 8/24/2022,229
6/22/2022,27,Data as of 8/24/2022,256
6/23/2022,24,Data as of 8/24/2022,280
6/24/2022,35,Data as of 8/24/2022,315
6/25/2022,21,Data as of 8/24/2022,336
6/26/2022,16,Data as of 8/24/2022,352
6/27/2022,81,Data as of 8/24/2022,433
6/28/2022,51,Data as of 8/24/2022,484
6/29/2022,57,Data as of 8/24/2022,541
6/30/2022,72,Data as of 8/24/2022,613
7/1/2022,90,Data as of 8/24/2022,703
7/2/2022,46,Data as of 8/24/2022,749
7/3/2022,37,Data as of 8/24/2022,786
7/4/2022,58,Data as of 8/24/2022,844
7/5/2022,85,Data as of 8/24/2022,929
7/6/2022,106,Data as of 8/24/2022,1035
7/7/2022,110,Data as of 8/24/2022,1145
7/8/2022,161,Data as of 8/24/2022,1306
7/9/2022,103,Data as of 8/24/2022,1409
7/10/2022,72,Data as of 8/24/2022,1481
7/11/2022,217,Data as of 8/24/2022,1698
7/12/2022,215,Data as of 8/24/2022,1913
7/13/2022,220,Data as of 8/24/2022,2133
7/14/2022,242,Data as of 8/24/2022,2375
7/15/2022,248,Data as of 8/24/2022,2623
7/16/2022,169,Data as of 8/24/2022,2792
7/17/2022,97,Data as of 8/24/2022,2889
7/18/2022,327,Data as of 8/24/2022,3216
7/19/2022,266,Data as of 8/24/2022,3482
7/20/2022,266,Data as of 8/24/2022,3748
7/21/2022,235,Data as of 8/24/2022,3983
7/22/2022,354,Data as of 8/24/2022,4337
7/23/2022,192,Data as of 8/24/2022,4529
7/24/2022,100,Data as of 8/24/2022,4629
7/25/2022,417,Data as of 8/24/2022,5046
7/26/2022,372,Data as of 8/24/2022,5418
7/27/2022,488,Data as of 8/24/2022,5906
7/28/2022,361,Data as of 8/24/2022,6267
7/29/2022,403,Data as of 8/24/2022,6670
7/30/2022,233,Data as of 8/24/2022,6903
7/31/2022,165,Data as of 8/24/2022,7068
8/1/2022,523,Data as of 8/24/2022,7591
8/2/2022,465,Data as of 8/24/2022,8056
8/3/2022,522,Data as of 8/24/2022,8578
8/4/2022,487,Data as of 8/24/2022,9065
8/5/2022,410,Data as of 8/24/2022,9475
8/6/2022,185,Data as of 8/24/2022,9660
8/7/2022,142,Data as of 8/24/2022,9802
8/8/2022,767,Data as of 8/24/2022,10569
8/9/2022,465,Data as of 8/24/2022,11034
8/10/2022,655,Data as of 8/24/2022,11689
8/11/2022,402,Data as of 8/24/2022,12091
8/12/2022,378,Data as of 8/24/2022,12469
8/13/2022,193,Data as of 8/24/2022,12662
8/14/2022,106,Data as of 8/24/2022,12768
8/15/2022,690,Data as of 8/24/2022,13458
8/16/2022,334,Data as of 8/24/2022,13792
8/17/2022,438,Data as of 8/24/2022,14230
8/18/2022,349,Data as of 8/24/2022,14579
8/19/2022,377,Data as of 8/24/2022,14956
8/20/2022,82,Data as of 8/24/2022,15038
8/21/2022,40,Data as of 8/24/2022,15078
8/22/2022,676,Data as of 8/24/2022,15754
8/23/2022,656,Data as of 8/24/2022,16410
8/24/2022,182,Data as of 8/24/2022,16592
