epi_date_v2,cases,7-day average,cumulative cases,asof,cumulative_sum
5/10/2022,1,0.0,1,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,1
5/11/2022,2,0.0,3,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,3
5/12/2022,2,0.0,5,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,5
5/13/2022,0,0.0,5,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,5
5/14/2022,0,0.0,5,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,5
5/15/2022,1,0.0,6,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,6
5/16/2022,6,1.714285714,12,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,12
5/17/2022,3,2.0,15,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,15
5/18/2022,2,2.0,17,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,17
5/19/2022,3,2.142857143,20,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,20
5/20/2022,0,2.142857143,20,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,20
5/21/2022,1,2.285714286,21,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,21
5/22/2022,1,2.285714286,22,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,22
5/23/2022,3,1.857142857,25,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,25
5/24/2022,4,2.0,29,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,29
5/25/2022,4,2.285714286,33,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,33
5/26/2022,2,2.142857143,35,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,35
5/27/2022,5,2.857142857,40,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,40
5/28/2022,0,2.714285714,40,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,40
5/29/2022,6,3.428571429,46,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,46
5/30/2022,5,3.714285714,51,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,51
5/31/2022,6,4.0,57,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,57
6/1/2022,11,5.0,68,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,68
6/2/2022,12,6.428571429,80,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,80
6/3/2022,6,6.571428571,86,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,86
6/4/2022,4,7.142857143,90,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,90
6/5/2022,5,7.0,95,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,95
6/6/2022,22,9.428571429,117,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,117
6/7/2022,19,11.28571429,136,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,136
6/8/2022,12,11.42857143,148,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,148
6/9/2022,6,10.57142857,154,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,154
6/10/2022,23,13.0,177,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,177
6/11/2022,11,14.0,188,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,188
6/12/2022,26,17.0,214,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,214
6/13/2022,23,17.14285714,237,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,237
6/14/2022,26,18.14285714,263,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,263
6/15/2022,35,21.42857143,298,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,298
6/16/2022,25,24.14285714,323,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,323
6/17/2022,31,25.28571429,354,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,354
6/18/2022,25,27.28571429,379,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,379
6/19/2022,36,28.71428571,415,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,415
6/20/2022,39,31.0,454,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,454
6/21/2022,42,33.28571429,496,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,496
6/22/2022,62,37.14285714,558,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,558
6/23/2022,56,41.57142857,614,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,614
6/24/2022,48,44.0,662,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,662
6/25/2022,54,48.14285714,716,Data as Reported to CDC as of 07 Dec 2022 2:00 PM EDT,716
