location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,47,Data as of 22 Aug 2022 2:00 PM EDT,01,Ala.,AL,Alabama,4893186,9.61,2022-08-22,8:33 PM,15430
Alaska,3,Data as of 22 Aug 2022 2:00 PM EDT,02,Alaska,AK,Alaska,736990,4.07,2022-08-22,8:33 PM,15430
Arizona,258,Data as of 22 Aug 2022 2:00 PM EDT,04,Ariz.,AZ,Arizona,7174064,35.96,2022-08-22,8:33 PM,15430
Arkansas,21,Data as of 22 Aug 2022 2:00 PM EDT,05,Ark.,AR,Arkansas,3011873,6.97,2022-08-22,8:33 PM,15430
California,2663,Data as of 22 Aug 2022 2:00 PM EDT,06,Calif.,CA,California,39346023,67.68,2022-08-22,8:33 PM,15430
Colorado,155,Data as of 22 Aug 2022 2:00 PM EDT,08,Colo.,CO,Colorado,5684926,27.27,2022-08-22,8:33 PM,15430
Connecticut,82,Data as of 22 Aug 2022 2:00 PM EDT,09,Conn.,CT,Connecticut,3570549,22.97,2022-08-22,8:33 PM,15430
Delaware,17,Data as of 22 Aug 2022 2:00 PM EDT,10,Del.,DE,Delaware,967679,17.57,2022-08-22,8:33 PM,15430
District of Columbia,372,Data as of 22 Aug 2022 2:00 PM EDT,11,D.C.,DC,District of Columbia,701974,529.93,2022-08-22,8:33 PM,15430
Florida,1588,Data as of 22 Aug 2022 2:00 PM EDT,12,Fla.,FL,Florida,21216924,74.85,2022-08-22,8:33 PM,15430
Georgia,1190,Data as of 22 Aug 2022 2:00 PM EDT,13,Ga.,GA,Georgia,10516579,113.15,2022-08-22,8:33 PM,15430
Hawaii,13,Data as of 22 Aug 2022 2:00 PM EDT,15,Hawaii,HI,Hawaii,1420074,9.15,2022-08-22,8:33 PM,15430
Idaho,9,Data as of 22 Aug 2022 2:00 PM EDT,16,Idaho,ID,Idaho,1754367,5.13,2022-08-22,8:33 PM,15430
Illinois,951,Data as of 22 Aug 2022 2:00 PM EDT,17,Ill.,IL,Illinois,12716164,74.79,2022-08-22,8:33 PM,15430
Indiana,107,Data as of 22 Aug 2022 2:00 PM EDT,18,Ind.,IN,Indiana,6696893,15.98,2022-08-22,8:33 PM,15430
Iowa,15,Data as of 22 Aug 2022 2:00 PM EDT,19,Iowa,IA,Iowa,3150011,4.76,2022-08-22,8:33 PM,15430
Kansas,3,Data as of 22 Aug 2022 2:00 PM EDT,20,Kan.,KS,Kansas,2912619,1.03,2022-08-22,8:33 PM,15430
Kentucky,22,Data as of 22 Aug 2022 2:00 PM EDT,21,Ky.,KY,Kentucky,4461952,4.93,2022-08-22,8:33 PM,15430
Louisiana,146,Data as of 22 Aug 2022 2:00 PM EDT,22,La.,LA,Louisiana,4664616,31.3,2022-08-22,8:33 PM,15430
Maine,5,Data as of 22 Aug 2022 2:00 PM EDT,23,Maine,ME,Maine,1340825,3.73,2022-08-22,8:33 PM,15430
Maryland,379,Data as of 22 Aug 2022 2:00 PM EDT,24,Md.,MD,Maryland,6037624,62.77,2022-08-22,8:33 PM,15430
Massachusetts,265,Data as of 22 Aug 2022 2:00 PM EDT,25,Mass.,MA,Massachusetts,6873003,38.56,2022-08-22,8:33 PM,15430
Michigan,138,Data as of 22 Aug 2022 2:00 PM EDT,26,Mich.,MI,Michigan,9973907,13.84,2022-08-22,8:33 PM,15430
Minnesota,101,Data as of 22 Aug 2022 2:00 PM EDT,27,Minn.,MN,Minnesota,5600166,18.04,2022-08-22,8:33 PM,15430
Mississippi,19,Data as of 22 Aug 2022 2:00 PM EDT,28,Miss.,MS,Mississippi,2981835,6.37,2022-08-22,8:33 PM,15430
Missouri,34,Data as of 22 Aug 2022 2:00 PM EDT,29,Mo.,MO,Missouri,6124160,5.55,2022-08-22,8:33 PM,15430
Montana,2,Data as of 22 Aug 2022 2:00 PM EDT,30,Mont.,MT,Montana,1061705,1.88,2022-08-22,8:33 PM,15430
Nebraska,21,Data as of 22 Aug 2022 2:00 PM EDT,31,Neb.,NE,Nebraska,1923826,10.92,2022-08-22,8:33 PM,15430
Nevada,118,Data as of 22 Aug 2022 2:00 PM EDT,32,Nev.,NV,Nevada,3030281,38.94,2022-08-22,8:33 PM,15430
New Hampshire,16,Data as of 22 Aug 2022 2:00 PM EDT,33,N.H.,NH,New Hampshire,1355244,11.81,2022-08-22,8:33 PM,15430
New Jersey,420,Data as of 22 Aug 2022 2:00 PM EDT,34,N.J.,NJ,New Jersey,8885418,47.27,2022-08-22,8:33 PM,15430
New Mexico,19,Data as of 22 Aug 2022 2:00 PM EDT,35,N.M.,NM,New Mexico,2097021,9.06,2022-08-22,8:33 PM,15430
New York,2910,Data as of 22 Aug 2022 2:00 PM EDT,36,N.Y.,NY,New York,19514849,149.12,2022-08-22,8:33 PM,15430
North Carolina,250,Data as of 22 Aug 2022 2:00 PM EDT,37,N.C.,NC,North Carolina,10386227,24.07,2022-08-22,8:33 PM,15430
