location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,24,Data as of 10 Aug 2022 2:00 PM EDT,01,Ala.,AL,Alabama,4893186,4.9,2022-08-15,8:12 PM,10389
Alaska,2,Data as of 10 Aug 2022 2:00 PM EDT,02,Alaska,AK,Alaska,736990,2.71,2022-08-15,8:12 PM,10389
Arizona,149,Data as of 10 Aug 2022 2:00 PM EDT,04,Ariz.,AZ,Arizona,7174064,20.77,2022-08-15,8:12 PM,10389
Arkansas,12,Data as of 10 Aug 2022 2:00 PM EDT,05,Ark.,AR,Arkansas,3011873,3.98,2022-08-15,8:12 PM,10389
California,1892,Data as of 10 Aug 2022 2:00 PM EDT,06,Calif.,CA,California,39346023,48.09,2022-08-15,8:12 PM,10389
Colorado,111,Data as of 10 Aug 2022 2:00 PM EDT,08,Colo.,CO,Colorado,5684926,19.53,2022-08-15,8:12 PM,10389
Connecticut,54,Data as of 10 Aug 2022 2:00 PM EDT,09,Conn.,CT,Connecticut,3570549,15.12,2022-08-15,8:12 PM,10389
Delaware,8,Data as of 10 Aug 2022 2:00 PM EDT,10,Del.,DE,Delaware,967679,8.27,2022-08-15,8:12 PM,10389
District of Columbia,319,Data as of 10 Aug 2022 2:00 PM EDT,11,D.C.,DC,District of Columbia,701974,454.43,2022-08-15,8:12 PM,10389
Florida,1018,Data as of 10 Aug 2022 2:00 PM EDT,12,Fla.,FL,Florida,21216924,47.98,2022-08-15,8:12 PM,10389
Georgia,775,Data as of 10 Aug 2022 2:00 PM EDT,13,Ga.,GA,Georgia,10516579,73.69,2022-08-15,8:12 PM,10389
Hawaii,11,Data as of 10 Aug 2022 2:00 PM EDT,15,Hawaii,HI,Hawaii,1420074,7.75,2022-08-15,8:12 PM,10389
Idaho,8,Data as of 10 Aug 2022 2:00 PM EDT,16,Idaho,ID,Idaho,1754367,4.56,2022-08-15,8:12 PM,10389
Illinois,717,Data as of 10 Aug 2022 2:00 PM EDT,17,Ill.,IL,Illinois,12716164,56.38,2022-08-15,8:12 PM,10389
