location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,78,Data as of September 06 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,15.94,2022-09-06,8:40 PM,20730
Alaska,3,Data as of September 06 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-06,8:40 PM,20730
Arizona,341,Data as of September 06 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,47.53,2022-09-06,8:40 PM,20730
Arkansas,40,Data as of September 06 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,13.28,2022-09-06,8:40 PM,20730
California,3833,Data as of September 06 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,97.42,2022-09-06,8:40 PM,20730
Colorado,198,Data as of September 06 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,34.83,2022-09-06,8:40 PM,20730
Connecticut,102,Data as of September 06 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,28.57,2022-09-06,8:40 PM,20730
Delaware,26,Data as of September 06 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,26.87,2022-09-06,8:40 PM,20730
District of Columbia,436,Data as of September 06 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,621.11,2022-09-06,8:40 PM,20730
Florida,2126,Data as of September 06 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,100.2,2022-09-06,8:40 PM,20730
Georgia,1512,Data as of September 06 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,143.77,2022-09-06,8:40 PM,20730
Hawaii,22,Data as of September 06 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,15.49,2022-09-06,8:40 PM,20730
Idaho,11,Data as of September 06 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.27,2022-09-06,8:40 PM,20730
Illinois,1128,Data as of September 06 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,88.71,2022-09-06,8:40 PM,20730
Indiana,178,Data as of September 06 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,26.58,2022-09-06,8:40 PM,20730
Iowa,19,Data as of September 06 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,6.03,2022-09-06,8:40 PM,20730
Kansas,7,Data as of September 06 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,2.4,2022-09-06,8:40 PM,20730
Kentucky,34,Data as of September 06 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,7.62,2022-09-06,8:40 PM,20730
Louisiana,198,Data as of September 06 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,42.45,2022-09-06,8:40 PM,20730
Maine,7,Data as of September 06 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,5.22,2022-09-06,8:40 PM,20730
Maryland,554,Data as of September 06 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,91.76,2022-09-06,8:40 PM,20730
Massachusetts,336,Data as of September 06 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,48.89,2022-09-06,8:40 PM,20730
Michigan,200,Data as of September 06 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,20.05,2022-09-06,8:40 PM,20730
Minnesota,141,Data as of September 06 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,25.18,2022-09-06,8:40 PM,20730
Mississippi,41,Data as of September 06 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,13.75,2022-09-06,8:40 PM,20730
Missouri,59,Data as of September 06 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,9.63,2022-09-06,8:40 PM,20730
Montana,5,Data as of September 06 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-09-06,8:40 PM,20730
Nebraska,28,Data as of September 06 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.55,2022-09-06,8:40 PM,20730
Nevada,154,Data as of September 06 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,50.82,2022-09-06,8:40 PM,20730
New Hampshire,22,Data as of September 06 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,16.23,2022-09-06,8:40 PM,20730
New Jersey,594,Data as of September 06 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,66.85,2022-09-06,8:40 PM,20730
New Mexico,27,Data as of September 06 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,12.88,2022-09-06,8:40 PM,20730
New York,3526,Data as of September 06 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,180.68,2022-09-06,8:40 PM,20730
North Carolina,377,Data as of September 06 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,36.3,2022-09-06,8:40 PM,20730
North Dakota,5,Data as of September 06 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,6.58,2022-09-06,8:40 PM,20730
Ohio,210,Data as of September 06 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,17.99,2022-09-06,8:40 PM,20730
Oklahoma,24,Data as of September 06 2022 at 2:00 pm EDT,40,Okla.,OK,Oklahoma,3949342,6.08,2022-09-06,8:40 PM,20730
Oregon,141,Data as of September 06 2022 at 2:00 pm EDT,41,Ore.,OR,Oregon,4176346,33.76,2022-09-06,8:40 PM,20730
Pennsylvania,603,Data as of September 06 2022 at 2:00 pm EDT,42,Pa.,PA,Pennsylvania,12794885,47.13,2022-09-06,8:40 PM,20730
Puerto Rico,126,Data as of September 06 2022 at 2:00 pm EDT,72,,PR,Puerto Rico,3255642,38.7,2022-09-06,8:40 PM,20730
Rhode Island,53,Data as of September 06 2022 at 2:00 pm EDT,44,R.I.,RI,Rhode Island,1057798,50.1,2022-09-06,8:40 PM,20730
South Carolina,119,Data as of September 06 2022 at 2:00 pm EDT,45,S.C.,SC,South Carolina,5091517,23.37,2022-09-06,8:40 PM,20730
South Dakota,2,Data as of September 06 2022 at 2:00 pm EDT,46,S.D.,SD,South Dakota,879336,2.27,2022-09-06,8:40 PM,20730
Tennessee,208,Data as of September 06 2022 at 2:00 pm EDT,47,Tenn.,TN,Tennessee,6772268,30.71,2022-09-06,8:40 PM,20730
Texas,1859,Data as of September 06 2022 at 2:00 pm EDT,48,Texas,TX,Texas,28635442,64.92,2022-09-06,8:40 PM,20730
Utah,110,Data as of September 06 2022 at 2:00 pm EDT,49,Utah,UT,Utah,3151239,34.91,2022-09-06,8:40 PM,20730
Vermont,3,Data as of September 06 2022 at 2:00 pm EDT,50,Vt.,VT,Vermont,624340,4.81,2022-09-06,8:40 PM,20730
Virginia,364,Data as of September 06 2022 at 2:00 pm EDT,51,Va.,VA,Virginia,8509358,42.78,2022-09-06,8:40 PM,20730
Washington,474,Data as of September 06 2022 at 2:00 pm EDT,53,Wash.,WA,Washington,7512465,63.1,2022-09-06,8:40 PM,20730
West Virginia,8,Data as of September 06 2022 at 2:00 pm EDT,54,W.Va.,WV,West Virginia,1807426,4.43,2022-09-06,8:40 PM,20730
Wisconsin,56,Data as of September 06 2022 at 2:00 pm EDT,55,Wis.,WI,Wisconsin,5806975,9.64,2022-09-06,8:40 PM,20730
Wyoming,2,Data as of September 06 2022 at 2:00 pm EDT,56,Wyo.,WY,Wyoming,581348,3.44,2022-09-06,8:40 PM,20730
