location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,112,Data as of September 22 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,22.89,2022-09-22,8:39 PM,24569
Alaska,5,Data as of September 22 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,6.78,2022-09-22,8:39 PM,24569
Arizona,436,Data as of September 22 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,60.77,2022-09-22,8:39 PM,24569
Arkansas,56,Data as of September 22 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,18.59,2022-09-22,8:39 PM,24569
California,4753,Data as of September 22 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,120.8,2022-09-22,8:39 PM,24569
Colorado,263,Data as of September 22 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,46.26,2022-09-22,8:39 PM,24569
Connecticut,124,Data as of September 22 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,34.73,2022-09-22,8:39 PM,24569
Delaware,36,Data as of September 22 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,37.2,2022-09-22,8:39 PM,24569
District of Columbia,493,Data as of September 22 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,702.31,2022-09-22,8:39 PM,24569
Florida,2422,Data as of September 22 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,114.15,2022-09-22,8:39 PM,24569
Georgia,1723,Data as of September 22 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,163.84,2022-09-22,8:39 PM,24569
Hawaii,27,Data as of September 22 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,19.01,2022-09-22,8:39 PM,24569
Idaho,12,Data as of September 22 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.84,2022-09-22,8:39 PM,24569
Illinois,1267,Data as of September 22 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,99.64,2022-09-22,8:39 PM,24569
Indiana,221,Data as of September 22 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,33.0,2022-09-22,8:39 PM,24569
Iowa,25,Data as of September 22 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,7.94,2022-09-22,8:39 PM,24569
Kansas,9,Data as of September 22 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,3.09,2022-09-22,8:39 PM,24569
Kentucky,50,Data as of September 22 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,11.21,2022-09-22,8:39 PM,24569
Louisiana,240,Data as of September 22 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,51.45,2022-09-22,8:39 PM,24569
Maine,9,Data as of September 22 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,6.71,2022-09-22,8:39 PM,24569
Maryland,637,Data as of September 22 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,105.51,2022-09-22,8:39 PM,24569
Massachusetts,381,Data as of September 22 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,55.43,2022-09-22,8:39 PM,24569
Michigan,257,Data as of September 22 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,25.77,2022-09-22,8:39 PM,24569
Minnesota,180,Data as of September 22 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,32.14,2022-09-22,8:39 PM,24569
Mississippi,71,Data as of September 22 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,23.81,2022-09-22,8:39 PM,24569
Missouri,84,Data as of September 22 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,13.72,2022-09-22,8:39 PM,24569
Montana,5,Data as of September 22 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-09-22,8:39 PM,24569
Nebraska,28,Data as of September 22 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.55,2022-09-22,8:39 PM,24569
Nevada,217,Data as of September 22 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,71.61,2022-09-22,8:39 PM,24569
New Hampshire,28,Data as of September 22 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,20.66,2022-09-22,8:39 PM,24569
New Jersey,676,Data as of September 22 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,76.08,2022-09-22,8:39 PM,24569
New Mexico,40,Data as of September 22 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,19.07,2022-09-22,8:39 PM,24569
New York,3820,Data as of September 22 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,195.75,2022-09-22,8:39 PM,24569
North Carolina,512,Data as of September 22 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,49.3,2022-09-22,8:39 PM,24569
North Dakota,6,Data as of September 22 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,7.89,2022-09-22,8:39 PM,24569
Ohio,259,Data as of September 22 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,22.18,2022-09-22,8:39 PM,24569
Oklahoma,36,Data as of September 22 2022 at 2:00 pm EDT,40,Okla.,OK,Oklahoma,3949342,9.12,2022-09-22,8:39 PM,24569
Oregon,205,Data as of September 22 2022 at 2:00 pm EDT,41,Ore.,OR,Oregon,4176346,49.09,2022-09-22,8:39 PM,24569
Pennsylvania,719,Data as of September 22 2022 at 2:00 pm EDT,42,Pa.,PA,Pennsylvania,12794885,56.19,2022-09-22,8:39 PM,24569
Puerto Rico,170,Data as of September 22 2022 at 2:00 pm EDT,72,,PR,Puerto Rico,3255642,52.22,2022-09-22,8:39 PM,24569
Rhode Island,72,Data as of September 22 2022 at 2:00 pm EDT,44,R.I.,RI,Rhode Island,1057798,68.07,2022-09-22,8:39 PM,24569
South Carolina,153,Data as of September 22 2022 at 2:00 pm EDT,45,S.C.,SC,South Carolina,5091517,30.05,2022-09-22,8:39 PM,24569
South Dakota,2,Data as of September 22 2022 at 2:00 pm EDT,46,S.D.,SD,South Dakota,879336,2.27,2022-09-22,8:39 PM,24569
Tennessee,268,Data as of September 22 2022 at 2:00 pm EDT,47,Tenn.,TN,Tennessee,6772268,39.57,2022-09-22,8:39 PM,24569
Texas,2195,Data as of September 22 2022 at 2:00 pm EDT,48,Texas,TX,Texas,28635442,76.65,2022-09-22,8:39 PM,24569
Utah,149,Data as of September 22 2022 at 2:00 pm EDT,49,Utah,UT,Utah,3151239,47.28,2022-09-22,8:39 PM,24569
Vermont,3,Data as of September 22 2022 at 2:00 pm EDT,50,Vt.,VT,Vermont,624340,4.81,2022-09-22,8:39 PM,24569
Virginia,452,Data as of September 22 2022 at 2:00 pm EDT,51,Va.,VA,Virginia,8509358,53.12,2022-09-22,8:39 PM,24569
Washington,579,Data as of September 22 2022 at 2:00 pm EDT,53,Wash.,WA,Washington,7512465,77.07,2022-09-22,8:39 PM,24569
West Virginia,11,Data as of September 22 2022 at 2:00 pm EDT,54,W.Va.,WV,West Virginia,1807426,6.09,2022-09-22,8:39 PM,24569
Wisconsin,69,Data as of September 22 2022 at 2:00 pm EDT,55,Wis.,WI,Wisconsin,5806975,11.88,2022-09-22,8:39 PM,24569
Wyoming,2,Data as of September 22 2022 at 2:00 pm EDT,56,Wyo.,WY,Wyoming,581348,3.44,2022-09-22,8:39 PM,24569
