location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,90,Data as of September 14 2022 at 2:00 pm EDT,01,Ala.,AL,Alabama,4893186,18.39,2022-09-14,8:42 PM,22771
Alaska,3,Data as of September 14 2022 at 2:00 pm EDT,02,Alaska,AK,Alaska,736990,4.07,2022-09-14,8:42 PM,22771
Arizona,399,Data as of September 14 2022 at 2:00 pm EDT,04,Ariz.,AZ,Arizona,7174064,55.62,2022-09-14,8:42 PM,22771
Arkansas,52,Data as of September 14 2022 at 2:00 pm EDT,05,Ark.,AR,Arkansas,3011873,17.27,2022-09-14,8:42 PM,22771
California,4300,Data as of September 14 2022 at 2:00 pm EDT,06,Calif.,CA,California,39346023,109.29,2022-09-14,8:42 PM,22771
Colorado,235,Data as of September 14 2022 at 2:00 pm EDT,08,Colo.,CO,Colorado,5684926,41.34,2022-09-14,8:42 PM,22771
Connecticut,114,Data as of September 14 2022 at 2:00 pm EDT,09,Conn.,CT,Connecticut,3570549,31.93,2022-09-14,8:42 PM,22771
Delaware,35,Data as of September 14 2022 at 2:00 pm EDT,10,Del.,DE,Delaware,967679,36.17,2022-09-14,8:42 PM,22771
District of Columbia,473,Data as of September 14 2022 at 2:00 pm EDT,11,D.C.,DC,District of Columbia,701974,673.81,2022-09-14,8:42 PM,22771
Florida,2301,Data as of September 14 2022 at 2:00 pm EDT,12,Fla.,FL,Florida,21216924,108.45,2022-09-14,8:42 PM,22771
Georgia,1614,Data as of September 14 2022 at 2:00 pm EDT,13,Ga.,GA,Georgia,10516579,153.47,2022-09-14,8:42 PM,22771
Hawaii,25,Data as of September 14 2022 at 2:00 pm EDT,15,Hawaii,HI,Hawaii,1420074,17.6,2022-09-14,8:42 PM,22771
Idaho,12,Data as of September 14 2022 at 2:00 pm EDT,16,Idaho,ID,Idaho,1754367,6.84,2022-09-14,8:42 PM,22771
Illinois,1187,Data as of September 14 2022 at 2:00 pm EDT,17,Ill.,IL,Illinois,12716164,93.35,2022-09-14,8:42 PM,22771
Indiana,195,Data as of September 14 2022 at 2:00 pm EDT,18,Ind.,IN,Indiana,6696893,29.12,2022-09-14,8:42 PM,22771
Iowa,22,Data as of September 14 2022 at 2:00 pm EDT,19,Iowa,IA,Iowa,3150011,6.98,2022-09-14,8:42 PM,22771
Kansas,7,Data as of September 14 2022 at 2:00 pm EDT,20,Kan.,KS,Kansas,2912619,2.4,2022-09-14,8:42 PM,22771
Kentucky,39,Data as of September 14 2022 at 2:00 pm EDT,21,Ky.,KY,Kentucky,4461952,8.74,2022-09-14,8:42 PM,22771
Louisiana,219,Data as of September 14 2022 at 2:00 pm EDT,22,La.,LA,Louisiana,4664616,46.95,2022-09-14,8:42 PM,22771
Maine,7,Data as of September 14 2022 at 2:00 pm EDT,23,Maine,ME,Maine,1340825,5.22,2022-09-14,8:42 PM,22771
Maryland,598,Data as of September 14 2022 at 2:00 pm EDT,24,Md.,MD,Maryland,6037624,99.05,2022-09-14,8:42 PM,22771
Massachusetts,356,Data as of September 14 2022 at 2:00 pm EDT,25,Mass.,MA,Massachusetts,6873003,51.8,2022-09-14,8:42 PM,22771
Michigan,237,Data as of September 14 2022 at 2:00 pm EDT,26,Mich.,MI,Michigan,9973907,23.76,2022-09-14,8:42 PM,22771
Minnesota,163,Data as of September 14 2022 at 2:00 pm EDT,27,Minn.,MN,Minnesota,5600166,29.11,2022-09-14,8:42 PM,22771
Mississippi,55,Data as of September 14 2022 at 2:00 pm EDT,28,Miss.,MS,Mississippi,2981835,18.45,2022-09-14,8:42 PM,22771
Missouri,70,Data as of September 14 2022 at 2:00 pm EDT,29,Mo.,MO,Missouri,6124160,11.43,2022-09-14,8:42 PM,22771
Montana,5,Data as of September 14 2022 at 2:00 pm EDT,30,Mont.,MT,Montana,1061705,4.71,2022-09-14,8:42 PM,22771
Nebraska,28,Data as of September 14 2022 at 2:00 pm EDT,31,Neb.,NE,Nebraska,1923826,14.55,2022-09-14,8:42 PM,22771
Nevada,204,Data as of September 14 2022 at 2:00 pm EDT,32,Nev.,NV,Nevada,3030281,67.32,2022-09-14,8:42 PM,22771
New Hampshire,27,Data as of September 14 2022 at 2:00 pm EDT,33,N.H.,NH,New Hampshire,1355244,19.92,2022-09-14,8:42 PM,22771
New Jersey,633,Data as of September 14 2022 at 2:00 pm EDT,34,N.J.,NJ,New Jersey,8885418,71.24,2022-09-14,8:42 PM,22771
New Mexico,33,Data as of September 14 2022 at 2:00 pm EDT,35,N.M.,NM,New Mexico,2097021,15.74,2022-09-14,8:42 PM,22771
New York,3694,Data as of September 14 2022 at 2:00 pm EDT,36,N.Y.,NY,New York,19514849,189.29,2022-09-14,8:42 PM,22771
North Carolina,435,Data as of September 14 2022 at 2:00 pm EDT,37,N.C.,NC,North Carolina,10386227,41.88,2022-09-14,8:42 PM,22771
North Dakota,5,Data as of September 14 2022 at 2:00 pm EDT,38,N.D.,ND,North Dakota,760394,6.58,2022-09-14,8:42 PM,22771
Ohio,236,Data as of September 14 2022 at 2:00 pm EDT,39,Ohio,OH,Ohio,11675275,20.21,2022-09-14,8:42 PM,22771
Oklahoma,31,Data as of September 14 2022 at 2:00 pm EDT,40,Okla.,OK,Oklahoma,3949342,7.85,2022-09-14,8:42 PM,22771
Oregon,183,Data as of September 14 2022 at 2:00 pm EDT,41,Ore.,OR,Oregon,4176346,43.82,2022-09-14,8:42 PM,22771
Pennsylvania,678,Data as of September 14 2022 at 2:00 pm EDT,42,Pa.,PA,Pennsylvania,12794885,52.99,2022-09-14,8:42 PM,22771
Puerto Rico,155,Data as of September 14 2022 at 2:00 pm EDT,72,,PR,Puerto Rico,3255642,47.61,2022-09-14,8:42 PM,22771
Rhode Island,61,Data as of September 14 2022 at 2:00 pm EDT,44,R.I.,RI,Rhode Island,1057798,57.67,2022-09-14,8:42 PM,22771
South Carolina,133,Data as of September 14 2022 at 2:00 pm EDT,45,S.C.,SC,South Carolina,5091517,26.12,2022-09-14,8:42 PM,22771
South Dakota,2,Data as of September 14 2022 at 2:00 pm EDT,46,S.D.,SD,South Dakota,879336,2.27,2022-09-14,8:42 PM,22771
Tennessee,239,Data as of September 14 2022 at 2:00 pm EDT,47,Tenn.,TN,Tennessee,6772268,35.29,2022-09-14,8:42 PM,22771
Texas,2017,Data as of September 14 2022 at 2:00 pm EDT,48,Texas,TX,Texas,28635442,70.44,2022-09-14,8:42 PM,22771
Utah,128,Data as of September 14 2022 at 2:00 pm EDT,49,Utah,UT,Utah,3151239,40.62,2022-09-14,8:42 PM,22771
Vermont,3,Data as of September 14 2022 at 2:00 pm EDT,50,Vt.,VT,Vermont,624340,4.81,2022-09-14,8:42 PM,22771
Virginia,422,Data as of September 14 2022 at 2:00 pm EDT,51,Va.,VA,Virginia,8509358,49.59,2022-09-14,8:42 PM,22771
Washington,535,Data as of September 14 2022 at 2:00 pm EDT,53,Wash.,WA,Washington,7512465,71.21,2022-09-14,8:42 PM,22771
West Virginia,10,Data as of September 14 2022 at 2:00 pm EDT,54,W.Va.,WV,West Virginia,1807426,5.53,2022-09-14,8:42 PM,22771
Wisconsin,64,Data as of September 14 2022 at 2:00 pm EDT,55,Wis.,WI,Wisconsin,5806975,11.02,2022-09-14,8:42 PM,22771
Wyoming,2,Data as of September 14 2022 at 2:00 pm EDT,56,Wyo.,WY,Wyoming,581348,3.44,2022-09-14,8:42 PM,22771
