location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Alabama,34,Data as of 17 Aug 2022 2:00 PM EDT,01,Ala.,AL,Alabama,4893186,6.95,2022-08-17,8:24 PM,13514
Alaska,2,Data as of 17 Aug 2022 2:00 PM EDT,02,Alaska,AK,Alaska,736990,2.71,2022-08-17,8:24 PM,13514
Arizona,213,Data as of 17 Aug 2022 2:00 PM EDT,04,Ariz.,AZ,Arizona,7174064,29.69,2022-08-17,8:24 PM,13514
Arkansas,21,Data as of 17 Aug 2022 2:00 PM EDT,05,Ark.,AR,Arkansas,3011873,6.97,2022-08-17,8:24 PM,13514
California,2356,Data as of 17 Aug 2022 2:00 PM EDT,06,Calif.,CA,California,39346023,59.88,2022-08-17,8:24 PM,13514
Colorado,155,Data as of 17 Aug 2022 2:00 PM EDT,08,Colo.,CO,Colorado,5684926,27.27,2022-08-17,8:24 PM,13514
Connecticut,71,Data as of 17 Aug 2022 2:00 PM EDT,09,Conn.,CT,Connecticut,3570549,19.88,2022-08-17,8:24 PM,13514
Delaware,10,Data as of 17 Aug 2022 2:00 PM EDT,10,Del.,DE,Delaware,967679,10.33,2022-08-17,8:24 PM,13514
District of Columbia,351,Data as of 17 Aug 2022 2:00 PM EDT,11,D.C.,DC,District of Columbia,701974,500.02,2022-08-17,8:24 PM,13514
Florida,1346,Data as of 17 Aug 2022 2:00 PM EDT,12,Fla.,FL,Florida,21216924,63.44,2022-08-17,8:24 PM,13514
Georgia,1033,Data as of 17 Aug 2022 2:00 PM EDT,13,Ga.,GA,Georgia,10516579,98.23,2022-08-17,8:24 PM,13514
Hawaii,13,Data as of 17 Aug 2022 2:00 PM EDT,15,Hawaii,HI,Hawaii,1420074,9.15,2022-08-17,8:24 PM,13514
Idaho,9,Data as of 17 Aug 2022 2:00 PM EDT,16,Idaho,ID,Idaho,1754367,5.13,2022-08-17,8:24 PM,13514
Illinois,875,Data as of 17 Aug 2022 2:00 PM EDT,17,Ill.,IL,Illinois,12716164,68.81,2022-08-17,8:24 PM,13514
Indiana,101,Data as of 17 Aug 2022 2:00 PM EDT,18,Ind.,IN,Indiana,6696893,15.08,2022-08-17,8:24 PM,13514
Iowa,15,Data as of 17 Aug 2022 2:00 PM EDT,19,Iowa,IA,Iowa,3150011,4.76,2022-08-17,8:24 PM,13514
Kansas,3,Data as of 17 Aug 2022 2:00 PM EDT,20,Kan.,KS,Kansas,2912619,1.03,2022-08-17,8:24 PM,13514
Kentucky,17,Data as of 17 Aug 2022 2:00 PM EDT,21,Ky.,KY,Kentucky,4461952,3.81,2022-08-17,8:24 PM,13514
Louisiana,120,Data as of 17 Aug 2022 2:00 PM EDT,22,La.,LA,Louisiana,4664616,25.73,2022-08-17,8:24 PM,13514
Maine,3,Data as of 17 Aug 2022 2:00 PM EDT,23,Maine,ME,Maine,1340825,2.24,2022-08-17,8:24 PM,13514
Maryland,349,Data as of 17 Aug 2022 2:00 PM EDT,24,Md.,MD,Maryland,6037624,57.8,2022-08-17,8:24 PM,13514
