location,cases,asof,state_fips,state_ap,state_postal,state,pop_acs_2020_5tr,cases_per_million,updated_date,updated_time,national_total
Massachusetts,228,Data as of 17 Aug 2022 2:00 PM EDT,25,Mass.,MA,Massachusetts,6873003,33.17,2022-08-17,8:24 PM,13514
Michigan,99,Data as of 17 Aug 2022 2:00 PM EDT,26,Mich.,MI,Michigan,9973907,9.93,2022-08-17,8:24 PM,13514
Minnesota,78,Data as of 17 Aug 2022 2:00 PM EDT,27,Minn.,MN,Minnesota,5600166,13.93,2022-08-17,8:24 PM,13514
Mississippi,17,Data as of 17 Aug 2022 2:00 PM EDT,28,Miss.,MS,Mississippi,2981835,5.7,2022-08-17,8:24 PM,13514
Missouri,25,Data as of 17 Aug 2022 2:00 PM EDT,29,Mo.,MO,Missouri,6124160,4.08,2022-08-17,8:24 PM,13514
Montana,2,Data as of 17 Aug 2022 2:00 PM EDT,30,Mont.,MT,Montana,1061705,1.88,2022-08-17,8:24 PM,13514
Nebraska,17,Data as of 17 Aug 2022 2:00 PM EDT,31,Neb.,NE,Nebraska,1923826,8.84,2022-08-17,8:24 PM,13514
Nevada,109,Data as of 17 Aug 2022 2:00 PM EDT,32,Nev.,NV,Nevada,3030281,35.97,2022-08-17,8:24 PM,13514
New Hampshire,15,Data as of 17 Aug 2022 2:00 PM EDT,33,N.H.,NH,New Hampshire,1355244,11.07,2022-08-17,8:24 PM,13514
New Jersey,367,Data as of 17 Aug 2022 2:00 PM EDT,34,N.J.,NJ,New Jersey,8885418,41.3,2022-08-17,8:24 PM,13514
New Mexico,16,Data as of 17 Aug 2022 2:00 PM EDT,35,N.M.,NM,New Mexico,2097021,7.63,2022-08-17,8:24 PM,13514
New York,2675,Data as of 17 Aug 2022 2:00 PM EDT,36,N.Y.,NY,New York,19514849,137.08,2022-08-17,8:24 PM,13514
North Carolina,188,Data as of 17 Aug 2022 2:00 PM EDT,37,N.C.,NC,North Carolina,10386227,18.1,2022-08-17,8:24 PM,13514
North Dakota,3,Data as of 17 Aug 2022 2:00 PM EDT,38,N.D.,ND,North Dakota,760394,3.95,2022-08-17,8:24 PM,13514
Ohio,119,Data as of 17 Aug 2022 2:00 PM EDT,39,Ohio,OH,Ohio,11675275,10.19,2022-08-17,8:24 PM,13514
Oklahoma,15,Data as of 17 Aug 2022 2:00 PM EDT,40,Okla.,OK,Oklahoma,3949342,3.8,2022-08-17,8:24 PM,13514
Oregon,116,Data as of 17 Aug 2022 2:00 PM EDT,41,Ore.,OR,Oregon,4176346,27.78,2022-08-17,8:24 PM,13514
Pennsylvania,362,Data as of 17 Aug 2022 2:00 PM EDT,42,Pa.,PA,Pennsylvania,12794885,28.29,2022-08-17,8:24 PM,13514
Puerto Rico,66,Data as of 17 Aug 2022 2:00 PM EDT,72,,PR,Puerto Rico,3255642,20.27,2022-08-17,8:24 PM,13514
Rhode Island,33,Data as of 17 Aug 2022 2:00 PM EDT,44,R.I.,RI,Rhode Island,1057798,31.2,2022-08-17,8:24 PM,13514
South Carolina,73,Data as of 17 Aug 2022 2:00 PM EDT,45,S.C.,SC,South Carolina,5091517,14.34,2022-08-17,8:24 PM,13514
South Dakota,2,Data as of 17 Aug 2022 2:00 PM EDT,46,S.D.,SD,South Dakota,879336,2.27,2022-08-17,8:24 PM,13514
Tennessee,99,Data as of 17 Aug 2022 2:00 PM EDT,47,Tenn.,TN,Tennessee,6772268,14.62,2022-08-17,8:24 PM,13514
Texas,1078,Data as of 17 Aug 2022 2:00 PM EDT,48,Texas,TX,Texas,28635442,37.65,2022-08-17,8:24 PM,13514
Utah,73,Data as of 17 Aug 2022 2:00 PM EDT,49,Utah,UT,Utah,3151239,23.17,2022-08-17,8:24 PM,13514
Vermont,2,Data as of 17 Aug 2022 2:00 PM EDT,50,Vt.,VT,Vermont,624340,3.2,2022-08-17,8:24 PM,13514
Virginia,189,Data as of 17 Aug 2022 2:00 PM EDT,51,Va.,VA,Virginia,8509358,22.21,2022-08-17,8:24 PM,13514
Washington,303,Data as of 17 Aug 2022 2:00 PM EDT,53,Wash.,WA,Washington,7512465,40.33,2022-08-17,8:24 PM,13514
West Virginia,5,Data as of 17 Aug 2022 2:00 PM EDT,54,W.Va.,WV,West Virginia,1807426,2.77,2022-08-17,8:24 PM,13514
Wisconsin,43,Data as of 17 Aug 2022 2:00 PM EDT,55,Wis.,WI,Wisconsin,5806975,7.4,2022-08-17,8:24 PM,13514
Wyoming,0,Data as of 17 Aug 2022 2:00 PM EDT,56,Wyo.,WY,Wyoming,581348,0.0,2022-08-17,8:24 PM,13514
