epi_date_v3,cases,7-day average,cumulative cases,asof,cumulative_sum
5/10/2022,1,0.0,1,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1
5/11/2022,5,0.0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,6
5/12/2022,0,0.0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,6
5/13/2022,0,0.0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,6
5/14/2022,0,0.0,6,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,6
5/15/2022,2,0.0,8,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,8
5/16/2022,7,2.142857143,15,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,15
5/17/2022,3,2.428571429,18,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,18
5/18/2022,2,2.0,20,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,20
5/19/2022,3,2.428571429,23,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,23
5/20/2022,0,2.428571429,23,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,23
5/21/2022,1,2.571428571,24,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,24
5/22/2022,1,2.428571429,25,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25
5/23/2022,3,1.857142857,28,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,28
5/24/2022,4,2.0,32,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,32
5/25/2022,2,2.0,34,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,34
5/26/2022,2,1.857142857,36,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,36
5/27/2022,4,2.428571429,40,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,40
5/28/2022,0,2.285714286,40,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,40
5/29/2022,6,3.0,46,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,46
5/30/2022,8,3.714285714,54,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,54
5/31/2022,5,3.857142857,59,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,59
6/1/2022,9,4.857142857,68,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,68
6/2/2022,13,6.428571429,81,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,81
6/3/2022,7,6.857142857,88,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,88
6/4/2022,5,7.571428571,93,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,93
6/5/2022,6,7.571428571,99,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,99
6/6/2022,20,9.285714286,119,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,119
6/7/2022,19,11.28571429,138,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,138
6/8/2022,12,11.71428571,150,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,150
6/9/2022,6,10.71428571,156,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,156
6/10/2022,24,13.14285714,180,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,180
6/11/2022,11,14.0,191,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,191
6/12/2022,27,17.0,218,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,218
6/13/2022,25,17.71428571,243,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,243
6/14/2022,26,18.71428571,269,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,269
6/15/2022,33,21.71428571,302,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,302
6/16/2022,26,24.57142857,328,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,328
6/17/2022,33,25.85714286,361,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,361
6/18/2022,26,28.0,387,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,387
6/19/2022,36,29.28571429,423,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,423
6/20/2022,42,31.71428571,465,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,465
6/21/2022,43,34.14285714,508,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,508
6/22/2022,62,38.28571429,570,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,570
6/23/2022,56,42.57142857,626,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,626
6/24/2022,50,45.0,676,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,676
6/25/2022,55,49.14285714,731,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,731
6/26/2022,65,53.28571429,796,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,796
6/27/2022,97,61.14285714,893,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,893
6/28/2022,90,67.85714286,983,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,983
6/29/2022,79,70.28571429,1062,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1062
6/30/2022,114,78.57142857,1176,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1176
7/1/2022,135,90.71428571,1311,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1311
7/2/2022,126,100.8571429,1437,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1437
7/3/2022,132,110.4285714,1569,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1569
7/4/2022,163,119.8571429,1732,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1732
7/5/2022,184,133.2857143,1916,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,1916
7/6/2022,178,147.4285714,2094,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2094
7/7/2022,186,157.7142857,2280,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2280
7/8/2022,245,173.4285714,2525,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2525
7/9/2022,192,182.8571429,2717,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2717
7/10/2022,221,195.5714286,2938,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,2938
7/11/2022,347,221.8571429,3285,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,3285
7/12/2022,236,229.2857143,3521,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,3521
7/13/2022,275,243.1428571,3796,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,3796
7/14/2022,301,259.5714286,4097,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,4097
7/15/2022,350,274.5714286,4447,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,4447
7/16/2022,259,284.1428571,4706,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,4706
7/17/2022,252,288.5714286,4958,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,4958
7/18/2022,412,297.8571429,5370,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,5370
7/19/2022,328,311.0,5698,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,5698
7/20/2022,369,324.4285714,6067,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,6067
7/21/2022,336,329.4285714,6403,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,6403
7/22/2022,354,330.0,6757,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,6757
7/23/2022,308,337.0,7065,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,7065
7/24/2022,324,347.2857143,7389,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,7389
7/25/2022,512,361.5714286,7901,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,7901
7/26/2022,405,372.5714286,8306,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,8306
7/27/2022,462,385.8571429,8768,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,8768
7/28/2022,437,400.2857143,9205,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,9205
7/29/2022,461,415.5714286,9666,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,9666
7/30/2022,372,424.7142857,10038,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,10038
7/31/2022,359,429.7142857,10397,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,10397
8/1/2022,631,446.7142857,11028,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,11028
8/2/2022,468,455.7142857,11496,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,11496
8/3/2022,452,454.2857143,11948,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,11948
8/4/2022,431,453.4285714,12379,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,12379
8/5/2022,490,457.5714286,12869,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,12869
8/6/2022,388,459.8571429,13257,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,13257
8/7/2022,353,459.0,13610,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,13610
8/8/2022,498,440.0,14108,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,14108
8/9/2022,413,432.1428571,14521,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,14521
8/10/2022,463,433.7142857,14984,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,14984
8/11/2022,402,429.5714286,15386,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,15386
8/12/2022,417,419.1428571,15803,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,15803
8/13/2022,360,415.1428571,16163,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,16163
8/14/2022,316,409.8571429,16479,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,16479
8/15/2022,474,406.4285714,16953,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,16953
8/16/2022,324,393.7142857,17277,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,17277
8/17/2022,336,375.5714286,17613,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,17613
8/18/2022,401,375.4285714,18014,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,18014
8/19/2022,395,372.2857143,18409,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,18409
8/20/2022,342,369.7142857,18751,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,18751
8/21/2022,274,363.7142857,19025,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,19025
8/22/2022,349,345.8571429,19374,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,19374
8/23/2022,358,350.7142857,19732,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,19732
8/24/2022,304,346.1428571,20036,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,20036
8/25/2022,316,334.0,20352,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,20352
8/26/2022,318,323.0,20670,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,20670
8/27/2022,240,308.4285714,20910,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,20910
8/28/2022,237,303.1428571,21147,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,21147
8/29/2022,304,296.7142857,21451,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,21451
8/30/2022,271,284.2857143,21722,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,21722
8/31/2022,228,273.4285714,21950,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,21950
9/1/2022,340,276.8571429,22290,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,22290
9/2/2022,289,272.7142857,22579,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,22579
9/3/2022,196,266.4285714,22775,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,22775
9/4/2022,166,256.2857143,22941,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,22941
9/5/2022,239,247.0,23180,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,23180
9/6/2022,270,246.8571429,23450,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,23450
9/7/2022,235,247.8571429,23685,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,23685
9/8/2022,238,233.2857143,23923,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,23923
9/9/2022,208,221.7142857,24131,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,24131
9/10/2022,173,218.4285714,24304,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,24304
9/11/2022,108,210.1428571,24412,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,24412
9/12/2022,244,210.8571429,24656,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,24656
9/13/2022,186,198.8571429,24842,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,24842
9/14/2022,183,191.4285714,25025,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25025
9/15/2022,184,183.7142857,25209,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25209
9/16/2022,175,179.0,25384,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25384
9/17/2022,136,173.7142857,25520,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25520
9/18/2022,120,175.4285714,25640,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25640
9/19/2022,132,159.4285714,25772,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25772
9/20/2022,165,156.4285714,25937,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,25937
9/21/2022,138,150.0,26075,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,26075
9/22/2022,152,145.4285714,26227,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,26227
9/23/2022,120,137.5714286,26347,Data as Reported to CDC as of 15 Mar 2023 2:00 PM EDT,26347
